source_dataset,source_row_id,candidate_dataset,candidate_row_id,source_work,candidate_work,source_mp,candidate_mp,source_constituency,candidate_constituency,source_state,candidate_state,source_amount,candidate_amount,match_score,confidence_level,match_method,decision,review_status
allocated limit for honble mps (4),219,expenditure on completed and on-going works as on date (2),105,,Lighting of public spaces,Ranjeet Ranjan (2022-28) (2022-2028),Ranjeet Ranjan (2022-28) (2022-2028),,,Chhattisgarh,Chhattisgarh,246780257.9,249668.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),54,expenditure on completed and on-going works as on date (2),984,,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Babubhai Jesangbhai Desai (2023-29) (2023-2029),Babubhai Jesangbhai Desai (2023-29) (2023-2029),,,Gujarat,Gujarat,171500000.0,500000.0,81.46,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),41,expenditure on completed and on-going works as on date (2),1087,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Abdul Wahab (2021-27) (2021-2027),Abdul Wahab (2021-27) (2021-2027),,,Kerala,Kerala,310898953.3,592859.0,81.45,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),158,expenditure on completed and on-going works as on date (2),347,,Lighting of public spaces,Ramji (2020-26) (2020-2026),Ramji (2020-26) (2020-2026),,,Uttar Pradesh,Uttar Pradesh,174518577.1,11523.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),89,expenditure on completed and on-going works as on date (2),811,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Jagat Prakash Nadda (2024-30) (2024-2030),Jagat Prakash Nadda (2024-30) (2024-2030),,,Gujarat,Gujarat,147000000.0,500000.0,81.46,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),35,expenditure on completed and on-going works as on date (2),1067,,Purchase of training equipment,Vikramjit Singh Sahney (2022-28) (2022-2028),Vikramjit Singh Sahney (2022-28) (2022-2028),,,Punjab,Punjab,198656208.6,15100.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),70,expenditure on completed and on-going works as on date (2),1364,,"Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)",Derek O' Brien (2023-29) (2023-2029),Derek O' Brien (2023-29) (2023-2029),,,West Bengal,West Bengal,171500000.0,414408.0,81.45,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),230,expenditure on completed and on-going works as on date (2),886,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Sumitra Balmik (2022-28) (2022-2028),Sumitra Balmik (2022-28) (2022-2028),,,Madhya Pradesh,Madhya Pradesh,196063957.1,200000.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),103,expenditure on completed and on-going works as on date (2),1333,,Construction of community centers and community halls,Kesridevsinh Jhala (2023-29) (2023-2029),Kesridevsinh Jhala (2023-29) (2023-2029),,,Gujarat,Gujarat,171500000.0,601607.0,81.46,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),96,expenditure on completed and on-going works as on date (2),1422,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Jose K. Mani (2024-30) (2024-2030),Jose K. Mani (2024-30) (2024-2030),,,Kerala,Kerala,122500000.0,410100.0,81.46,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),41,expenditure on completed and on-going works as on date (2),1038,,Construction of community centers and community halls,Abdul Wahab (2021-27) (2021-2027),Abdul Wahab (2021-27) (2021-2027),,,Kerala,Kerala,310898953.3,1159461.0,81.46,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),161,expenditure on completed and on-going works as on date (2),480,,Construction of community centers and community halls,Randeep Singh Surjewala (2022-28) (2022-2028),Randeep Singh Surjewala (2022-28) (2022-2028),,,Rajasthan,Rajasthan,196063957.1,13875.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),25,expenditure on completed and on-going works as on date (2),317,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Sandeep Kumar Pathak (2022-28) (2022-2028),Sandeep Kumar Pathak (2022-28) (2022-2028),,,Punjab,Punjab,232203454.2,49000.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),230,expenditure on completed and on-going works as on date (2),625,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Sumitra Balmik (2022-28) (2022-2028),Sumitra Balmik (2022-28) (2022-2028),,,Madhya Pradesh,Madhya Pradesh,196063957.1,700000.0,81.46,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),23,expenditure on completed and on-going works as on date (2),738,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),,,Gujarat,Gujarat,147000000.0,500000.0,81.46,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),216,expenditure on completed and on-going works as on date (2),815,,"Construction of roads, link roads, pathways or any other road with or without drainage system",P. T. Usha (2022-28) (2022-2028),P. T. Usha (2022-28) (2022-2028),,,Kerala,Kerala,196063957.1,861361.0,81.47,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),161,expenditure on completed and on-going works as on date (2),431,,Construction of community centers and community halls,Randeep Singh Surjewala (2022-28) (2022-2028),Randeep Singh Surjewala (2022-28) (2022-2028),,,Rajasthan,Rajasthan,196063957.1,4275.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),111,expenditure on completed and on-going works as on date (2),757,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Mahendra Bhatt (2024-30) (2024-2030),Mahendra Bhatt (2024-30) (2024-2030),,,Uttarakhand,Uttarakhand,147000000.0,14307.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),110,expenditure on completed and on-going works as on date (2),1437,,Construction of bus-sheds or bus-stops,Madan Rathore (2024-30) (2024-2030),Madan Rathore (2024-30) (2024-2030),,,Rajasthan,Rajasthan,147000000.0,2850.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),158,expenditure on completed and on-going works as on date (2),328,,Lighting of public spaces,Ramji (2020-26) (2020-2026),Ramji (2020-26) (2020-2026),,,Uttar Pradesh,Uttar Pradesh,174518577.1,11523.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),183,expenditure on completed and on-going works as on date (2),1430,,Purchase of hospital equipment,Sant Balbir Singh (2022-28) (2022-2028),Sant Balbir Singh (2022-28) (2022-2028),,,Punjab,Punjab,196359074.4,199500.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),35,expenditure on completed and on-going works as on date (2),1182,,Setting up of laboratories,Vikramjit Singh Sahney (2022-28) (2022-2028),Vikramjit Singh Sahney (2022-28) (2022-2028),,,Punjab,Punjab,198656208.6,2401634.0,81.52,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),25,expenditure on completed and on-going works as on date (2),917,,Renovation of ponds and lakes,Sandeep Kumar Pathak (2022-28) (2022-2028),Sandeep Kumar Pathak (2022-28) (2022-2028),,,Punjab,Punjab,232203454.2,189000.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),25,expenditure on completed and on-going works as on date (2),521,,Development of public parks,Sandeep Kumar Pathak (2022-28) (2022-2028),Sandeep Kumar Pathak (2022-28) (2022-2028),,,Punjab,Punjab,232203454.2,44014.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),51,expenditure on completed and on-going works as on date (2),987,,Setting up of laboratories,Ashwini Vaishnaw (2024-30) (2024-2030),Ashwini Vaishnaw (2024-30) (2024-2030),,,Odisha,Odisha,265563957.1,49708.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),161,expenditure on completed and on-going works as on date (2),248,,Construction of boundary walls of existing public and community buildings,Randeep Singh Surjewala (2022-28) (2022-2028),Randeep Singh Surjewala (2022-28) (2022-2028),,,Rajasthan,Rajasthan,196063957.1,74159.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),120,expenditure on completed and on-going works as on date (2),277,,Construction of boundary walls of existing public and community buildings,Meda Raghunadha Reddy (2024-30) (2024-2030),Meda Raghunadha Reddy (2024-30) (2024-2030),,,Andhra Pradesh,Andhra Pradesh,147000000.0,588424.0,81.46,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),119,expenditure on completed and on-going works as on date (2),561,,"Purchase of ambulances (Four, three and two wheelers)",Mayankkumar Nayak (2024-30) (2024-2030),Mayankkumar Nayak (2024-30) (2024-2030),,,Gujarat,Gujarat,147000000.0,5973.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),103,expenditure on completed and on-going works as on date (2),310,,Construction of community centers and community halls,Kesridevsinh Jhala (2023-29) (2023-2029),Kesridevsinh Jhala (2023-29) (2023-2029),,,Gujarat,Gujarat,171500000.0,498315.0,81.46,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),161,expenditure on completed and on-going works as on date (2),461,,Construction of community centers and community halls,Randeep Singh Surjewala (2022-28) (2022-2028),Randeep Singh Surjewala (2022-28) (2022-2028),,,Rajasthan,Rajasthan,196063957.1,8550.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),219,expenditure on completed and on-going works as on date (2),116,,Lighting of public spaces,Ranjeet Ranjan (2022-28) (2022-2028),Ranjeet Ranjan (2022-28) (2022-2028),,,Chhattisgarh,Chhattisgarh,246780257.9,249668.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),77,expenditure on completed and on-going works as on date (2),1398,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Golla Baburao (2024-30) (2024-2030),Golla Baburao (2024-30) (2024-2030),,,Andhra Pradesh,Andhra Pradesh,147000000.0,4704726.0,81.65,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),216,expenditure on completed and on-going works as on date (2),583,,Construction of buildings for crèches and anganwadies,P. T. Usha (2022-28) (2022-2028),P. T. Usha (2022-28) (2022-2028),,,Kerala,Kerala,196063957.1,1921606.0,81.5,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),111,expenditure on completed and on-going works as on date (2),787,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Mahendra Bhatt (2024-30) (2024-2030),Mahendra Bhatt (2024-30) (2024-2030),,,Uttarakhand,Uttarakhand,147000000.0,46596.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),25,expenditure on completed and on-going works as on date (2),522,,Development of public parks,Sandeep Kumar Pathak (2022-28) (2022-2028),Sandeep Kumar Pathak (2022-28) (2022-2028),,,Punjab,Punjab,232203454.2,20020.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),124,expenditure on completed and on-going works as on date (2),535,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Mukul Wasnik (2022-28) (2022-2028),Mukul Wasnik (2022-28) (2022-2028),,,Rajasthan,Rajasthan,196063957.1,5700.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),173,expenditure on completed and on-going works as on date (2),122,,Development of public parks,Samik Bhattacharya (2024-30) (2024-2030),Samik Bhattacharya (2024-30) (2024-2030),,,West Bengal,West Bengal,147000000.0,561235.0,81.46,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),4,expenditure on completed and on-going works as on date (2),1109,,Fitting of Sitting RCC Benches in Public Places,Anil Sukhdeorao Bonde (2022-28) (2022-2028),Anil Sukhdeorao Bonde (2022-28) (2022-2028),,,Maharashtra,Maharashtra,196063957.1,500000.0,81.45,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),161,expenditure on completed and on-going works as on date (2),936,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Randeep Singh Surjewala (2022-28) (2022-2028),Randeep Singh Surjewala (2022-28) (2022-2028),,,Rajasthan,Rajasthan,196063957.1,3705.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),35,expenditure on completed and on-going works as on date (2),1212,,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Vikramjit Singh Sahney (2022-28) (2022-2028),Vikramjit Singh Sahney (2022-28) (2022-2028),,,Punjab,Punjab,198656208.6,312150.0,81.45,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),200,expenditure on completed and on-going works as on date (2),495,,"Construction of roads, link roads, pathways or any other road with or without drainage system",V. Vijayendra Prasad (2022-28) (2022-2028),V. Vijayendra Prasad (2022-28) (2022-2028),,,Andhra Pradesh,Andhra Pradesh,196063957.1,339026.0,81.45,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),103,expenditure on completed and on-going works as on date (2),1335,,Construction of community centers and community halls,Kesridevsinh Jhala (2023-29) (2023-2029),Kesridevsinh Jhala (2023-29) (2023-2029),,,Gujarat,Gujarat,171500000.0,601607.0,81.46,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),126,expenditure on completed and on-going works as on date (2),1373,,Development of playfields and sports grounds,Narain Dass Gupta (2024-30) (2024-2030),Narain Dass Gupta (2024-30) (2024-2030),,,Delhi,Delhi,160837070.0,387383.0,81.45,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),167,expenditure on completed and on-going works as on date (2),1160,,Purchase of non-conventional energy system and devices for community use,S. Jaishankar (2023-29) (2023-2029),S. Jaishankar (2023-29) (2023-2029),,,Gujarat,Gujarat,171500000.0,184925.0,81.45,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),215,expenditure on completed and on-going works as on date (2),226,,Setting up of farmers’ training and assistance centers,Nirmala Sitharaman (2022-28) (2022-2028),Nirmala Sitharaman (2022-28) (2022-2028),,,Karnataka,Karnataka,215972051.5,1250000.0,81.47,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),23,expenditure on completed and on-going works as on date (2),1319,,Construction of boundary walls of existing public and community buildings,Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),,,Gujarat,Gujarat,147000000.0,200000.0,81.45,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),158,expenditure on completed and on-going works as on date (2),350,,Lighting of public spaces,Ramji (2020-26) (2020-2026),Ramji (2020-26) (2020-2026),,,Uttar Pradesh,Uttar Pradesh,174518577.1,11523.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),223,expenditure on completed and on-going works as on date (2),737,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Sadhna Singh (2024-30) (2024-2030),Sadhna Singh (2024-30) (2024-2030),,,Uttar Pradesh,Uttar Pradesh,147000000.0,383500.0,81.45,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),45,expenditure on completed and on-going works as on date (2),240,,Construction of community centers and community halls,Amar Pal Maurya (2024-30) (2024-2030),Amar Pal Maurya (2024-30) (2024-2030),,,Uttar Pradesh,Uttar Pradesh,147000000.0,1162929.0,81.49,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),111,expenditure on completed and on-going works as on date (2),768,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Mahendra Bhatt (2024-30) (2024-2030),Mahendra Bhatt (2024-30) (2024-2030),,,Uttarakhand,Uttarakhand,147000000.0,49017.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),220,expenditure on completed and on-going works as on date (2),200,,Construction of rooms and halls in school and colleges,Rekha Sharma (2024-28) (2024-2028),Rekha Sharma (2024-28) (2024-2028),,,Haryana,Haryana,98000000.0,48473.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),72,expenditure on completed and on-going works as on date (2),585,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Dhananjay Bhimrao Mahadik (2022-28) (2022-2028),Dhananjay Bhimrao Mahadik (2022-28) (2022-2028),,,Maharashtra,Maharashtra,220383643.1,1976499.0,81.5,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),13,expenditure on completed and on-going works as on date (2),247,,Construction of bus-sheds or bus-stops,K. Laxman (2022-28) (2022-2028),K. Laxman (2022-28) (2022-2028),,,Uttar Pradesh,Uttar Pradesh,197637007.1,948129.0,81.47,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),121,expenditure on completed and on-going works as on date (2),983,,Installing tube-wells and borewells,Milind Murli Deora (2024-30) (2024-2030),Milind Murli Deora (2024-30) (2024-2030),,,Maharashtra,Maharashtra,147000000.0,500000.0,81.46,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),164,expenditure on completed and on-going works as on date (2),188,,Construction of rooms and halls in school and colleges,Rwngwra Narzary (2022-28) (2022-2028),Rwngwra Narzary (2022-28) (2022-2028),,,Assam,Assam,220563957.1,1306203.0,81.48,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),51,expenditure on completed and on-going works as on date (2),989,,Setting up of laboratories,Ashwini Vaishnaw (2024-30) (2024-2030),Ashwini Vaishnaw (2024-30) (2024-2030),,,Odisha,Odisha,265563957.1,979400.0,81.46,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),158,expenditure on completed and on-going works as on date (2),380,,Lighting of public spaces,Ramji (2020-26) (2020-2026),Ramji (2020-26) (2020-2026),,,Uttar Pradesh,Uttar Pradesh,174518577.1,11523.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),111,expenditure on completed and on-going works as on date (2),769,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Mahendra Bhatt (2024-30) (2024-2030),Mahendra Bhatt (2024-30) (2024-2030),,,Uttarakhand,Uttarakhand,147000000.0,19765.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),75,expenditure on completed and on-going works as on date (2),1330,,Construction of culverts and bridges,G.C. Chandrashekhar (2024-30) (2024-2030),G.C. Chandrashekhar (2024-30) (2024-2030),,,Karnataka,Karnataka,147000000.0,361395.0,81.45,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),128,expenditure on completed and on-going works as on date (2),1186,,"Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",Naresh Bansal (2020-26) (2020-2026),Naresh Bansal (2020-26) (2020-2026),,,Uttarakhand,Uttarakhand,222043184.7,240663.0,81.45,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),124,expenditure on completed and on-going works as on date (2),121,,Installing hand pumps,Mukul Wasnik (2022-28) (2022-2028),Mukul Wasnik (2022-28) (2022-2028),,,Rajasthan,Rajasthan,196063957.1,3000.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),45,expenditure on completed and on-going works as on date (2),1315,,Installing community drinking water plants,Amar Pal Maurya (2024-30) (2024-2030),Amar Pal Maurya (2024-30) (2024-2030),,,Uttar Pradesh,Uttar Pradesh,147000000.0,1409531.0,81.5,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),110,expenditure on completed and on-going works as on date (2),1440,,Construction of bus-sheds or bus-stops,Madan Rathore (2024-30) (2024-2030),Madan Rathore (2024-30) (2024-2030),,,Rajasthan,Rajasthan,147000000.0,2850.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),15,expenditure on completed and on-going works as on date (2),1338,,Installation of fixed garden gym equipment,Kavita Patidar (2022-28) (2022-2028),Kavita Patidar (2022-28) (2022-2028),,,Madhya Pradesh,Madhya Pradesh,197118521.4,840353.0,81.47,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),158,expenditure on completed and on-going works as on date (2),331,,Lighting of public spaces,Ramji (2020-26) (2020-2026),Ramji (2020-26) (2020-2026),,,Uttar Pradesh,Uttar Pradesh,174518577.1,11523.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),142,expenditure on completed and on-going works as on date (2),1075,,Security gates in streets/public place for safety purpose,Praful Patel (2024-30) (2024-2030),Praful Patel (2024-30) (2024-2030),,,Maharashtra,Maharashtra,147000000.0,500000.0,81.46,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),25,expenditure on completed and on-going works as on date (2),920,,Renovation of ponds and lakes,Sandeep Kumar Pathak (2022-28) (2022-2028),Sandeep Kumar Pathak (2022-28) (2022-2028),,,Punjab,Punjab,232203454.2,120000.0,81.44,MEDIUM,fuzzy_multi_field,pending,requires_human_review
allocated limit for honble mps (4),214,expenditure on completed and on-going works as on date (2),407,,Purchase of mobile water tankers,Maya Naroliya (2024-30) (2024-2030),Maya Naroliya (2024-30) (2024-2030),,,Madhya Pradesh,Madhya Pradesh,147000000.0,190930.0,81.45,MEDIUM,fuzzy_multi_field,pending,requires_human_review
