work_id,work_id_raw,mp_id,ida_id,category,description,recommended_amount,recommendation_date
129,SPO-21-2023-0129,16,17,Sports,Construction of sports facility at Suri Zila,176300000,2024-12-22
130,RAI-8-2023-0130,3,2,Railways,Construction of railways facility at Mammen Marg,283400000,2023-09-26
131,RAI-7-2023-0131,2,10,Railways,Construction of railways facility at Kalla Path,428200000,2024-08-10
132,RAI-12-2023-0132,7,19,Railways,Construction of railways facility at Keer Chowk,354000000,2025-06-26
133,ELE-22-2023-0133,17,18,Electricity,Construction of electricity facility at Chaudhary Path,273400000,2025-02-14
134,SPO-15-2023-0134,10,10,Sports,Construction of sports facility at Parmer Path,93600000,2023-10-18
135,SAN-12-2023-0135,7,10,Sanitation,Construction of sanitation facility at Majumdar Marg,131100000,2024-01-26
136,RAI-22-2023-0136,17,11,Railways,Construction of railways facility at Sha Zila,163600000,2023-11-11
137,HEA-30-2023-0137,25,1,Health,Construction of health facility at Bail Ganj,172400000,2023-10-10
138,HEA-14-2023-0138,9,4,Health,Construction of health facility at Kohli Path,393900000,2023-12-07
139,HEA-23-2023-0139,18,7,Health,Construction of health facility at Jha,167600000,2023-10-24
140,DRI-8-2023-0140,3,6,Drinking Water,Construction of drinking water facility at Johal Circle,369800000,2024-11-29
141,SAN-23-2023-0141_Sanitation,18,9,Sanitation,Construction of sanitation facility at Kaul Ganj,159200000,2024-05-13
142,RAI-9-2023-0142,4,14,Railways,Construction of railways facility at Agate Street,80200000,2024-04-03
143,HEA-23-2023-0143,18,3,Health,Construction of health facility at De Street,284300000,2024-10-24
144,SPO-17-2023-0144,12,12,Sports,Construction of sports facility at Ghosh Road,327700000,2023-11-25
145,ELE-18-2023-0145,13,13,Electricity,Construction of electricity facility at Deep Nagar,496800000,2023-09-12
146,RAI-7-2023-0146,2,16,Railways,Construction of railways facility at Khanna Path,337900000,2024-12-01
147,DRI-29-2023-0147,24,19,Drinking Water,Construction of drinking water facility at Babu Path,166900000,2024-01-14
148,SAN-16-2023-0148,11,13,Sanitation,Construction of sanitation facility at Ben Road,346600000,2023-12-08
149,SAN-18-2023-0149,13,4,Sanitation,Construction of sanitation facility at Vora Marg,376000000,2023-11-28
150,EDU-7-2023-0150,2,14,Education,Construction of education facility at Soni Zila,264400000,2024-08-14
151,EDU-7-2023-0151,2,2,Education,Construction of education facility at Varghese Path,420300000,2024-12-05
152,ELE-17-2023-0152,12,4,Electricity,Construction of electricity facility at Seth Zila,346100000,2024-09-26
153,SAN-21-2023-0153,16,11,Sanitation,Construction of sanitation facility at Bassi Ganj,432800000,2025-03-18
154,SPO-23-2023-0154,18,2,Sports,Construction of sports facility at Mitra Circle,110400000,2024-08-21
155,ELE-12-2023-0155,7,20,Electricity,Construction of electricity facility at Bhat Nagar,155700000,2024-09-07
156,ELE-17-2023-0156,12,10,Electricity,Construction of electricity facility at Sandhu Marg,182600000,2025-02-14
157,ROA-11-2023-0157,6,3,Roads,Construction of roads facility at Swaminathan Zila,487000000,2025-03-07
158,DRI-20-2023-0158_Drinking Water,15,13,Drinking Water,Construction of drinking water facility at Borah Chowk,116500000,2025-07-30
159,ROA-24-2023-0159,19,13,Roads,Construction of roads facility at Nagy Zila,445600000,2024-12-16
160,SPO-8-2023-0160,3,18,Sports,Construction of sports facility at Bhatti Street,446600000,2023-12-08
161,SAN-11-2023-0161,6,10,Sanitation,Construction of sanitation facility at Nair Road,471800000,2024-06-22
162,ROA-15-2023-0162,10,1,Roads,Construction of roads facility at Wali,364600000,2024-04-17
163,ROA-19-2023-0163_Roads,14,10,Roads,Construction of roads facility at Tiwari Chowk,457400000,2024-12-14
164,RAI-30-2023-0164,25,13,Railways,Construction of railways facility at Chaudhary Marg,435500000,2025-05-09
165,DRI-29-2023-0165,24,16,Drinking Water,Construction of drinking water facility at Kale Zila,209400000,2024-07-31
166,SAN-7-2023-0166,2,10,Sanitation,Construction of sanitation facility at Kari Chowk,349500000,2024-07-18
167,SAN-27-2023-0167,22,3,Sanitation,Construction of sanitation facility at Setty Path,438000000,2024-07-06
168,ROA-15-2023-0168,10,1,Roads,Construction of roads facility at Chandran Marg,325500000,2024-04-30
169,ROA-22-2023-0169,17,19,Roads,Construction of roads facility at Munshi Marg,71800000,2025-01-29
170,SPO-28-2023-0170,23,1,Sports,Construction of sports facility at Prasad Road,171000000,2023-12-28
171,SAN-8-2023-0171,3,13,Sanitation,Construction of sanitation facility at Bhavsar Chowk,393000000,2023-11-10
172,SPO-17-2023-0172,12,8,Sports,Construction of sports facility at Chander Zila,307000000,2024-08-01
173,ROA-12-2023-0173,7,11,Roads,Construction of roads facility at Pradhan Zila,294500000,2025-05-23
174,ROA-13-2023-0174,8,10,Roads,Construction of roads facility at Bhasin Street,285700000,2024-11-29
175,EDU-22-2023-0175,17,18,Education,Construction of education facility at Narayan Circle,333700000,2025-02-02
176,EDU-26-2023-0176,21,17,Education,Construction of education facility at Roy Zila,246000000,2024-06-01
177,SAN-17-2023-0177,12,17,Sanitation,Construction of sanitation facility at Behl Marg,436900000,2024-04-11
178,ROA-29-2023-0178,24,7,Roads,Construction of roads facility at Muni,313100000,2024-05-31
179,DRI-20-2023-0179,15,15,Drinking Water,Construction of drinking water facility at Tripathi Zila,375200000,2024-02-13
180,SAN-21-2023-0180,16,8,Sanitation,Construction of sanitation facility at Subramaniam Street,283100000,2024-02-22
181,EDU-9-2023-0181,4,4,Education,Construction of education facility at Palla Zila,320800000,2025-06-18
182,HEA-11-2023-0182,6,1,Health,Construction of health facility at Pillai Circle,193700000,2023-11-29
183,RAI-25-2023-0183,20,19,Railways,Construction of railways facility at Kara Road,315000000,2025-05-19
184,SAN-19-2023-0184,14,16,Sanitation,Construction of sanitation facility at Bal Marg,243500000,2024-12-17
185,EDU-15-2023-0185,10,3,Education,Construction of education facility at Balakrishnan Road,291600000,2024-01-19
186,HEA-14-2023-0186,9,12,Health,Construction of health facility at More Road,252700000,2025-08-16
187,EDU-6-2023-0187,1,19,Education,Construction of education facility at Panchal Path,100500000,2023-09-05
188,HEA-18-2023-0188,13,19,Health,Construction of health facility at Dhar Street,450400000,2024-11-13
189,ROA-6-2023-0189,1,6,Roads,Construction of roads facility at Boase Marg,67800000,2023-12-20
190,DRI-25-2023-0190,20,15,Drinking Water,Construction of drinking water facility at Chand Nagar,106500000,2025-04-02
191,SPO-25-2023-0191,20,16,Sports,Construction of sports facility at Kale Circle,357700000,2024-06-19
192,SPO-11-2023-0192,6,17,Sports,Construction of sports facility at Setty Marg,483200000,2024-05-22
193,SPO-24-2023-0193,19,17,Sports,Construction of sports facility at Pingle Street,238100000,2024-04-30
194,DRI-10-2023-0194,5,10,Drinking Water,Construction of drinking water facility at Chad Path,247100000,2025-07-18
195,DRI-6-2023-0195,1,4,Drinking Water,Construction of drinking water facility at Dugal Nagar,164700000,2024-01-01
196,SPO-22-2023-0196,17,2,Sports,Construction of sports facility at Bawa,296100000,2025-02-05
197,SPO-18-2023-0197,13,1,Sports,Construction of sports facility at Magar Zila,479600000,2024-08-10
198,ELE-16-2023-0198,11,18,Electricity,Construction of electricity facility at Sunder Marg,429300000,2024-12-15
199,SAN-13-2023-0199,8,11,Sanitation,Construction of sanitation facility at Sachdeva Chowk,114700000,2024-03-31
200,EDU-6-2023-0200,1,15,Education,Construction of education facility at Vala Ganj,204100000,2023-11-28
201,DRI-15-2023-0201,10,4,Drinking Water,Construction of drinking water facility at Sani Path,223500000,2023-11-26
202,SAN-26-2023-0202,21,9,Sanitation,Construction of sanitation facility at Sur Road,302600000,2024-10-14
203,HEA-21-2023-0203_Health,16,16,Health,Construction of health facility at Bath Road,169500000,2024-02-19
204,HEA-26-2023-0204,21,9,Health,Construction of health facility at Bhakta Marg,459000000,2023-09-06
205,SAN-25-2023-0205,20,14,Sanitation,Construction of sanitation facility at Mitra Ganj,188600000,2024-02-12
206,EDU-10-2023-0206,5,12,Education,Construction of education facility at Kumer Street,89700000,2024-04-12
207,RAI-12-2023-0207,7,15,Railways,Construction of railways facility at Dar Path,355700000,2023-09-07
208,ROA-28-2023-0208,23,8,Roads,Construction of roads facility at Sani Chowk,488800000,2024-01-15
209,HEA-19-2023-0209,14,15,Health,Construction of health facility at Rai Street,481200000,2024-10-18
210,EDU-26-2023-0210,21,7,Education,Construction of education facility at Tella Ganj,75900000,2024-11-07
211,SAN-26-2023-0211,21,17,Sanitation,Construction of sanitation facility at Bora Path,128100000,2024-07-05
212,EDU-6-2023-0212,1,6,Education,Construction of education facility at Sarin Nagar,279600000,2023-09-15
213,SPO-6-2023-0213,1,17,Sports,Construction of sports facility at Brahmbhatt Chowk,113000000,2025-07-01
214,SAN-26-2023-0214,21,16,Sanitation,Construction of sanitation facility at Sanghvi Path,93900000,2024-11-19
215,SAN-25-2023-0215,20,7,Sanitation,Construction of sanitation facility at Sahni Marg,357500000,2024-04-12
216,ELE-19-2023-0216,14,6,Electricity,Construction of electricity facility at Ravel Zila,361200000,2023-09-17
217,ROA-18-2023-0217,13,6,Roads,Construction of roads facility at Garg Path,414300000,2025-05-15
218,SPO-19-2023-0218_Sports,14,16,Sports,Construction of sports facility at Sharma,134600000,2025-06-08
219,HEA-29-2023-0219,24,9,Health,Construction of health facility at Chakrabarti Path,476800000,2024-08-05
220,ELE-14-2023-0220,9,14,Electricity,Construction of electricity facility at Kohli Zila,406000000,2024-08-04
221,HEA-20-2023-0221,15,6,Health,Construction of health facility at Rattan,456100000,2024-10-11
222,SPO-23-2023-0222,18,15,Sports,Construction of sports facility at Randhawa Zila,319900000,2025-07-08
223,SAN-24-2023-0223,19,16,Sanitation,Construction of sanitation facility at Nori Road,195500000,2024-02-20
224,HEA-26-2023-0224,21,9,Health,Construction of health facility at Ganguly Path,496900000,2023-10-30
225,ELE-28-2023-0225,23,14,Electricity,Construction of electricity facility at Comar Circle,298000000,2024-10-17
226,SPO-20-2023-0226_Sports,15,3,Sports,Construction of sports facility at Hari Circle,495300000,2025-08-04
227,ELE-9-2023-0227,4,5,Electricity,Construction of electricity facility at Panchal Path,86200000,2025-03-18
228,HEA-15-2023-0228,10,16,Health,Construction of health facility at Keer Street,468300000,2023-11-19
229,ELE-27-2023-0229,22,16,Electricity,Construction of electricity facility at Kunda Street,332500000,2024-02-01
230,RAI-21-2023-0230,16,9,Railways,Construction of railways facility at Dua Street,335300000,2025-04-13
231,SAN-27-2023-0231,22,14,Sanitation,Construction of sanitation facility at Goel Zila,139500000,2025-04-23
232,RAI-16-2023-0232,11,19,Railways,Construction of railways facility at Shetty Chowk,239900000,2025-04-08
233,HEA-26-2023-0233,21,6,Health,Construction of health facility at Sen,218500000,2025-02-11
234,SAN-14-2023-0234,9,2,Sanitation,Construction of sanitation facility at Naidu,211400000,2025-07-03
235,ROA-7-2023-0235,2,3,Roads,Construction of roads facility at Dora Path,119400000,2024-08-07
236,ELE-22-2023-0236,17,1,Electricity,Construction of electricity facility at Singh Zila,364300000,2024-08-09
237,RAI-23-2023-0237,18,10,Railways,Construction of railways facility at Maharaj Road,93900000,2024-12-03
238,SPO-30-2023-0238,25,1,Sports,Construction of sports facility at Pandey Nagar,452800000,2024-09-29
239,HEA-28-2023-0239_Health,23,6,Health,Construction of health facility at Mukherjee Zila,289200000,2024-08-24
240,EDU-15-2023-0240,10,7,Education,Construction of education facility at Barad Chowk,143500000,2023-10-15
241,HEA-27-2023-0241,22,18,Health,Construction of health facility at Mangat Path,293800000,2023-10-30
242,HEA-17-2023-0242,12,6,Health,Construction of health facility at Tripathi Zila,221900000,2024-06-25
243,ROA-6-2023-0243,1,13,Roads,Construction of roads facility at Barman Chowk,491300000,2024-08-15
244,SPO-20-2023-0244,15,16,Sports,Construction of sports facility at Guha,98500000,2024-05-07
245,SPO-17-2023-0245,12,10,Sports,Construction of sports facility at Soni,450900000,2024-09-24
246,SAN-21-2023-0246,16,19,Sanitation,Construction of sanitation facility at Bhatia Street,422400000,2024-08-15
247,EDU-13-2023-0247,8,14,Education,Construction of education facility at Oza Zila,487800000,2025-03-08
248,RAI-29-2023-0248,24,16,Railways,Construction of railways facility at Thaman Zila,331500000,2025-01-14
249,ELE-17-2023-0249,12,12,Electricity,Construction of electricity facility at Baral Street,411500000,2024-03-11
250,ROA-28-2023-0250,23,12,Roads,Construction of roads facility at Sarna Chowk,126400000,2024-10-12
251,SPO-19-2023-0251,14,11,Sports,Construction of sports facility at Dutt Circle,124700000,2024-06-09
252,SAN-18-2023-0252,13,3,Sanitation,Construction of sanitation facility at Mandal Path,148700000,2024-06-27
253,SAN-22-2023-0253,17,12,Sanitation,Construction of sanitation facility at Nigam Marg,295100000,2025-02-09
254,ELE-29-2023-0254,24,10,Electricity,Construction of electricity facility at Ben,410500000,2025-05-06
255,ELE-9-2023-0255,4,2,Electricity,Construction of electricity facility at Bhatti Path,150800000,2024-05-14
256,ROA-9-2023-0256,4,14,Roads,Construction of roads facility at Raju Zila,71900000,2024-04-08
257,SPO-6-2023-0257,1,14,Sports,Construction of sports facility at Doctor Road,292100000,2024-05-16
258,RAI-13-2023-0258,8,12,Railways,Construction of railways facility at Dhaliwal Zila,108100000,2025-08-13
259,RAI-28-2023-0259_Railways,23,3,Railways,Construction of railways facility at Mukherjee Path,109700000,2025-01-22
260,SPO-18-2023-0260,13,6,Sports,Construction of sports facility at Dayal Marg,396900000,2024-12-06
261,HEA-9-2023-0261,4,2,Health,Construction of health facility at Mukherjee Zila,177200000,2024-11-08
262,EDU-13-2023-0262,8,2,Education,Construction of education facility at Narasimhan Marg,405900000,2025-05-24
263,RAI-25-2023-0263,20,1,Railways,Construction of railways facility at Vyas Street,334000000,2023-11-12
264,EDU-18-2023-0264,13,11,Education,Construction of education facility at Trivedi Marg,74000000,2024-06-08
265,RAI-6-2023-0265,1,12,Railways,Construction of railways facility at Patil Nagar,422800000,2024-04-27
266,EDU-20-2023-0266,15,11,Education,Construction of education facility at Kala Street,237100000,2024-05-23
267,SPO-12-2023-0267,7,15,Sports,Construction of sports facility at Handa Chowk,233900000,2024-02-23
268,DRI-26-2023-0268,21,15,Drinking Water,Construction of drinking water facility at Dubey Street,196900000,2023-10-30
269,SAN-16-2023-0269,11,5,Sanitation,Construction of sanitation facility at Chaudhuri Road,214300000,2024-09-29
270,HEA-21-2023-0270,16,1,Health,Construction of health facility at Vyas Circle,497700000,2023-09-30
271,SAN-25-2023-0271,20,15,Sanitation,Construction of sanitation facility at Deep Path,51100000,2024-12-07
272,DRI-8-2023-0272,3,13,Drinking Water,Construction of drinking water facility at Dube Marg,166600000,2024-01-05
273,EDU-27-2023-0273,22,1,Education,Construction of education facility at Gandhi Street,101000000,2025-03-14
274,ROA-10-2023-0274,5,16,Roads,Construction of roads facility at Bassi Chowk,241300000,2024-07-16
275,RAI-8-2023-0275,3,15,Railways,Construction of railways facility at Khanna Path,431700000,2024-08-11
276,ROA-22-2023-0276,17,8,Roads,Construction of roads facility at Mane,83000000,2025-04-07
