work_id,work_id_raw,category,description,mp_id,constituency_id,ida_id,state,parliament,recommendation_date,recommended_amount,sanction_date,sanction_amount,status,completion_date,disbursed_amount,has_evidence,total_expenditure,expenditure_tx_count,first_payment_date,last_payment_date,unique_vendors,district_category_median,cost_deviation_pct,recommendation_to_sanction_days,sanction_to_first_payment_days,last_payment_to_completion_days,total_execution_days,total_expenditure_vs_sanction_amount,is_overpayment,mp_total_recommended,mp_allocated_limit,mp_recommended_total_vs_allocated_limit,budget_ceiling_breach_flag,evidence_missing_flag,vendor_txn_count_per_district_per_quarter
WS/MP190/2023-2024/1305-Street lights,WS/MP190/2023-2024/1305-Street lights,Other Public Infrastructure,LED Semi Highmast Light,MP_7C980F88,C_UTTAR__ELECTED_MP,IDA_4DF43721,Uttar Pradesh,rajya_sabha,19-Jun-2023,243000.0,24-Aug-2023,243000.0,PHYSICAL INSPECTION,02-Mar-24,243000.0,True,0.0,0,,,0,283000.0,-14.13,66,-1,-1,191,0.0,False,171978928.0,196063957.1,0.8772,False,False,0
WS/MP187/2023-2024/1362-Street lights,WS/MP187/2023-2024/1362-Street lights,Other Public Infrastructure,High Mask LED Light ( 6 lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,WORK COMPLETED,02-Aug-23,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,26,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1363-Street lights,WS/MP187/2023-2024/1363-Street lights,Other Public Infrastructure,High Mask Street Light ( 6 lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,False,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,True,0
WS/MP187/2023-2024/1364-Street lights,WS/MP187/2023-2024/1364-Street lights,Other Public Infrastructure,High Mask Street Lights ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,False,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,True,0
WS/MP187/2023-2024/1365-Street lights,WS/MP187/2023-2024/1365-Street lights,Other Public Infrastructure,High Mask Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,False,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,True,0
WS/MP187/2023-2024/1366-Street lights,WS/MP187/2023-2024/1366-Street lights,Other Public Infrastructure,High MAsk Street Light,MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,23-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,231,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1367-Street lights,WS/MP187/2023-2024/1367-Street lights,Other Public Infrastructure,High Mask Street Light,MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,26-Feb-24,283000.0,False,0.0,0,,,0,283000.0,0.0,16,-1,-1,234,0.0,False,169156300.0,196063957.1,0.8628,False,True,0
WS/MP187/2023-2024/1368-Street lights,WS/MP187/2023-2024/1368-Street lights,Other Public Infrastructure,High MAsk Street Lights ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,23-Feb-24,283000.0,False,0.0,0,,,0,283000.0,0.0,16,-1,-1,231,0.0,False,169156300.0,196063957.1,0.8628,False,True,0
WS/MP187/2023-2024/1369-Street lights,WS/MP187/2023-2024/1369-Street lights,Other Public Infrastructure,High Mask Street Lights,MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,23-Feb-24,283000.0,False,0.0,0,,,0,283000.0,0.0,16,-1,-1,231,0.0,False,169156300.0,196063957.1,0.8628,False,True,0
WS/MP187/2023-2024/1370-Street lights,WS/MP187/2023-2024/1370-Street lights,Other Public Infrastructure,High MAsk Street Lights ( 6 lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,23-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,231,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1371-Street lights,WS/MP187/2023-2024/1371-Street lights,Other Public Infrastructure,High Mask Street Light ( 6 lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,23-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,231,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1372-Street lights,WS/MP187/2023-2024/1372-Street lights,Other Public Infrastructure,High Mask Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,23-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,231,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1373-Street lights,WS/MP187/2023-2024/1373-Street lights,Other Public Infrastructure,High MAsk Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,23-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,231,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1374-Street lights,WS/MP187/2023-2024/1374-Street lights,Other Public Infrastructure,High MAsk Street Lights ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,23-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,231,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1375-Street lights,WS/MP187/2023-2024/1375-Street lights,Other Public Infrastructure,High Mask StreetLights ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,23-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,231,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1376-Street lights,WS/MP187/2023-2024/1376-Street lights,Other Public Infrastructure,High Mask Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,23-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,231,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1377-Street lights,WS/MP187/2023-2024/1377-Street lights,Other Public Infrastructure,High MaskStreet Lights ( 6 Light),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1378-Street lights,WS/MP187/2023-2024/1378-Street lights,Other Public Infrastructure,High MAsk Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1379-Street lights,WS/MP187/2023-2024/1379-Street lights,Other Public Infrastructure,High Mask Street  Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1380-Street lights,WS/MP187/2023-2024/1380-Street lights,Other Public Infrastructure,High Mask Street Lights ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1381-Street lights,WS/MP187/2023-2024/1381-Street lights,Other Public Infrastructure,High Mask Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
"WS/MP001/2023-2024/1411-Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1411-Construction of roads, link roads, pathways or any other road with or without drainage system",Other Public Infrastructure,???? ????? ??? ?? ???????  ???? ??? ???? ????? ??? ???? ??? ????? ????? ?? ?? ?? ??. ???  ??? ???? ?? ?? ?? ?? ???? ???? ???? ??? ??? ???? ???? ??? ??? ??? ?? ???????,MP_9F4B2345,C_BIHAR_ELECTED_MP,IDA_68F441D4,Bihar,rajya_sabha,21-Jun-2023,1484100.0,15-Sep-2023,1484100.0,PHYSICAL INSPECTION,03-Mar-24,1484100.0,True,0.0,0,,,0,970000.0,53.0,86,-1,-1,170,0.0,False,211985612.0,237168443.5,0.8938,False,False,0
WS/MP187/2023-2024/1419-Street lights,WS/MP187/2023-2024/1419-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1420-Street lights,WS/MP187/2023-2024/1420-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1421-Street lights,WS/MP187/2023-2024/1421-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1422-Street lights,WS/MP187/2023-2024/1422-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1423-Street lights,WS/MP187/2023-2024/1423-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1424-Street lights,WS/MP187/2023-2024/1424-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1425-Street lights,WS/MP187/2023-2024/1425-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1426-Street lights,WS/MP187/2023-2024/1426-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1427-Street lights,WS/MP187/2023-2024/1427-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1428-Street lights,WS/MP187/2023-2024/1428-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1429-Street lights,WS/MP187/2023-2024/1429-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1430-Street lights,WS/MP187/2023-2024/1430-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1431-Street lights,WS/MP187/2023-2024/1431-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1432-Street lights,WS/MP187/2023-2024/1432-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1433-Street lights,WS/MP187/2023-2024/1433-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1434-Street lights,WS/MP187/2023-2024/1434-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1435-Street lights,WS/MP187/2023-2024/1435-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1436-Street lights,WS/MP187/2023-2024/1436-Street lights,Other Public Infrastructure,DUDHIYa MANDIR PILIBHIT,MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1437-Street lights,WS/MP187/2023-2024/1437-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
WS/MP187/2023-2024/1438-Street lights,WS/MP187/2023-2024/1438-Street lights,Other Public Infrastructure,High Mask LED Street Light ( 6 Lights),MP_D231B8BC,C_UTTAR__ELECTED_MP,IDA_08B3F967,Uttar Pradesh,rajya_sabha,21-Jun-2023,283000.0,07-Jul-2023,283000.0,PHYSICAL INSPECTION,22-Feb-24,283000.0,True,0.0,0,,,0,283000.0,0.0,16,-1,-1,230,0.0,False,169156300.0,196063957.1,0.8628,False,False,0
"WS/MP106/2023-2024/1439-Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/1439-Construction of roads, link roads, pathways or any other road with or without drainage system",Other Public Infrastructure,paber block work in ground government sanjay middle school police narsinghpur,MP_D7D9EF1A,C_MADHYA_ELECTED_MP,IDA_0280A381,Madhya Pradesh,rajya_sabha,22-Jun-2023,500000.0,20-Sep-2023,500000.0,PHYSICAL INSPECTION,22-Nov-23,500000.0,True,0.0,0,,,0,500000.0,0.0,90,-1,-1,63,0.0,False,141377409.0,220563957.1,0.641,False,False,0
