alert_id,canonical_work_id,source_house,canonical_state,canonical_mp_name,priority,project_risk_score,delay_probability,expected_delay_days,status,evidence_json,auditor_notes,created_at,updated_at
ALT_10001496188709334109,WORK_HASH_10001496188709334109,,,,MEDIUM,0.0,0.0,0,NEW,"{""risk_drivers"": [""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 0.0 >= 25.0"", ""delay_probability_pct"": 0.0, ""expected_delay_days"": 0, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.31, ""statistical_anomaly_score"": 12.3, ""recommended_monitoring_priority"": ""LOW""}",,2026-09-02T22:35:23.416399,2026-09-02T22:35:23.416401
ALT_10001541902274676675,WORK_HASH_10001541902274676675,LOK_SABHA,BIHAR,MANOJ KUMAR,MEDIUM,35.4,0.0171,24,NEW,"{""risk_drivers"": [""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 35.4 >= 25.0"", ""delay_probability_pct"": 1.7, ""expected_delay_days"": 24, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 20.6, ""recommended_monitoring_priority"": ""MEDIUM""}",,2026-09-02T22:35:23.416417,2026-09-02T22:35:23.416418
ALT_10001554200055213150,WORK_HASH_10001554200055213150,LOK_SABHA,ASSAM,PARIMAL SUKLABAIDYA,MEDIUM,46.1,0.994,90,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration""], ""threshold_breached"": ""Project Risk Score 46.1 >= 25.0"", ""delay_probability_pct"": 99.4, ""expected_delay_days"": 90, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 19.3, ""recommended_monitoring_priority"": ""MEDIUM""}",,2026-09-02T22:35:23.416439,2026-09-02T22:35:23.416440
ALT_1000169039681450819,WORK_HASH_1000169039681450819,RAJYA_SABHA,ASSAM,JOGEN MOHAN (2026-32) (2026-2032),MEDIUM,0.0,0.0,0,NEW,"{""risk_drivers"": [""Normal project lifecycle trajectory""], ""threshold_breached"": ""Project Risk Score 0.0 >= 25.0"", ""delay_probability_pct"": 0.0, ""expected_delay_days"": 0, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 0.0, ""recommended_monitoring_priority"": ""LOW""}",,2026-09-02T22:35:23.416455,2026-09-02T22:35:23.416456
ALT_10001697312250471605,WORK_HASH_10001697312250471605,LOK_SABHA,PUNJAB,SARABJEET SINGH KHALSA,MEDIUM,35.8,0.0235,22,NEW,"{""risk_drivers"": [""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 35.8 >= 25.0"", ""delay_probability_pct"": 2.4, ""expected_delay_days"": 22, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 15.3, ""recommended_monitoring_priority"": ""MEDIUM""}",,2026-09-02T22:35:23.416470,2026-09-02T22:35:23.416472
ALT_10001931264168450999,WORK_HASH_10001931264168450999,LOK_SABHA,PUNJAB,DHARAMVIRA GANDHI,CRITICAL,79.7,0.9983,43,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration"", ""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 79.7 >= 75.0"", ""delay_probability_pct"": 99.8, ""expected_delay_days"": 43, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 1.7, ""recommended_monitoring_priority"": ""CRITICAL""}",,2026-09-02T22:35:23.416487,2026-09-02T22:35:23.416488
ALT_10002057826252316638,WORK_HASH_10002057826252316638,,,,MEDIUM,0.0,0.0,0,NEW,"{""risk_drivers"": [""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 0.0 >= 25.0"", ""delay_probability_pct"": 0.0, ""expected_delay_days"": 0, ""compliance_flags_count"": 1, ""compliance_rules_triggered"": [""R008""], ""compliance_actions"": [""Request site photo / completion certificate evidence""], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 12.3, ""recommended_monitoring_priority"": ""LOW""}",,2026-09-02T22:35:23.416507,2026-09-02T22:35:23.416508
ALT_10002213573066338468,WORK_HASH_10002213573066338468,LOK_SABHA,TELANGANA,CHAMALA KIRAN KUMAR REDDY,MEDIUM,35.9,0.0262,20,NEW,"{""risk_drivers"": [""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 35.9 >= 25.0"", ""delay_probability_pct"": 2.6, ""expected_delay_days"": 20, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 22.5, ""recommended_monitoring_priority"": ""MEDIUM""}",,2026-09-02T22:35:23.416523,2026-09-02T22:35:23.416525
ALT_10002240247302839423,WORK_HASH_10002240247302839423,RAJYA_SABHA,BIHAR,MANOJ KUMAR JHA (2024-30) (2024-2030),MEDIUM,35.0,0.0076,10,NEW,"{""risk_drivers"": [""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 35.0 >= 25.0"", ""delay_probability_pct"": 0.8, ""expected_delay_days"": 10, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 24.9, ""recommended_monitoring_priority"": ""MEDIUM""}",,2026-09-02T22:35:23.416540,2026-09-02T22:35:23.416541
ALT_10002252239071343926,WORK_HASH_10002252239071343926,,,,MEDIUM,0.0,0.0,0,NEW,"{""risk_drivers"": [""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 0.0 >= 25.0"", ""delay_probability_pct"": 0.0, ""expected_delay_days"": 0, ""compliance_flags_count"": 1, ""compliance_rules_triggered"": [""R008""], ""compliance_actions"": [""Request site photo / completion certificate evidence""], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 12.3, ""recommended_monitoring_priority"": ""LOW""}",,2026-09-02T22:35:23.416557,2026-09-02T22:35:23.416559
ALT_10002324702440381159,WORK_HASH_10002324702440381159,,,,MEDIUM,0.0,0.0,0,NEW,"{""risk_drivers"": [""Normal project lifecycle trajectory""], ""threshold_breached"": ""Project Risk Score 0.0 >= 25.0"", ""delay_probability_pct"": 0.0, ""expected_delay_days"": 0, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 12.3, ""recommended_monitoring_priority"": ""LOW""}",,2026-09-02T22:35:23.416572,2026-09-02T22:35:23.416574
ALT_10002566852566947895,WORK_HASH_10002566852566947895,RAJYA_SABHA,ODISHA,SMT. SULATA DEO (2022-28) (2022-2028),MEDIUM,35.6,0.0235,21,NEW,"{""risk_drivers"": [""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 35.6 >= 25.0"", ""delay_probability_pct"": 2.4, ""expected_delay_days"": 21, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 25.8, ""recommended_monitoring_priority"": ""MEDIUM""}",,2026-09-02T22:35:23.416589,2026-09-02T22:35:23.416590
ALT_10002604547977994136,WORK_HASH_10002604547977994136,,,,MEDIUM,0.0,0.0,0,NEW,"{""risk_drivers"": [""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 0.0 >= 25.0"", ""delay_probability_pct"": 0.0, ""expected_delay_days"": 0, ""compliance_flags_count"": 1, ""compliance_rules_triggered"": [""R008""], ""compliance_actions"": [""Request site photo / completion certificate evidence""], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 12.3, ""recommended_monitoring_priority"": ""LOW""}",,2026-09-02T22:35:23.416609,2026-09-02T22:35:23.416610
ALT_10002616295532102913,WORK_HASH_10002616295532102913,LOK_SABHA,BIHAR,RAJA RAM SINGH,CRITICAL,79.8,1.0,57,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration"", ""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 79.8 >= 75.0"", ""delay_probability_pct"": 100.0, ""expected_delay_days"": 57, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 10.6, ""recommended_monitoring_priority"": ""CRITICAL""}",,2026-09-02T22:35:23.416624,2026-09-02T22:35:23.416626
ALT_10002828314717352455,WORK_HASH_10002828314717352455,RAJYA_SABHA,ODISHA,SUBHASISH KHUNTIA (2024-30) (2024-2030),MEDIUM,46.1,0.9937,80,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 46.1 >= 25.0"", ""delay_probability_pct"": 99.4, ""expected_delay_days"": 80, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 7.0, ""recommended_monitoring_priority"": ""MEDIUM""}",,2026-09-02T22:35:23.416641,2026-09-02T22:35:23.416643
ALT_1000294416352653049,WORK_HASH_1000294416352653049,LOK_SABHA,GUJARAT,PRABHUBHAI NAGARBHAI VASAVA,CRITICAL,79.4,0.9924,36,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration"", ""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 79.4 >= 75.0"", ""delay_probability_pct"": 99.2, ""expected_delay_days"": 36, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 20.2, ""recommended_monitoring_priority"": ""CRITICAL""}",,2026-09-02T22:35:23.416657,2026-09-02T22:35:23.416659
ALT_10003014669394961192,WORK_HASH_10003014669394961192,LOK_SABHA,UTTAR PRADESH,S P SINGH,CRITICAL,79.4,0.994,75,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration"", ""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 79.4 >= 75.0"", ""delay_probability_pct"": 99.4, ""expected_delay_days"": 75, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 5.7, ""recommended_monitoring_priority"": ""CRITICAL""}",,2026-09-02T22:35:23.416672,2026-09-02T22:35:23.416674
ALT_1000301909486727047,WORK_HASH_1000301909486727047,,,,MEDIUM,0.0,0.0,0,NEW,"{""risk_drivers"": [""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 0.0 >= 25.0"", ""delay_probability_pct"": 0.0, ""expected_delay_days"": 0, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 12.3, ""recommended_monitoring_priority"": ""LOW""}",,2026-09-02T22:35:23.416690,2026-09-02T22:35:23.416691
ALT_10003125413620209358,WORK_HASH_10003125413620209358,LOK_SABHA,PUNJAB,DHARAMVIRA GANDHI,CRITICAL,79.7,0.9993,47,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration"", ""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 79.7 >= 75.0"", ""delay_probability_pct"": 99.9, ""expected_delay_days"": 47, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 0.9, ""recommended_monitoring_priority"": ""CRITICAL""}",,2026-09-02T22:35:23.416705,2026-09-02T22:35:23.416706
ALT_10003137492801879946,WORK_HASH_10003137492801879946,,,,MEDIUM,0.0,0.0,0,NEW,"{""risk_drivers"": [""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 0.0 >= 25.0"", ""delay_probability_pct"": 0.0, ""expected_delay_days"": 0, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 12.3, ""recommended_monitoring_priority"": ""LOW""}",,2026-09-02T22:35:23.416720,2026-09-02T22:35:23.416721
ALT_10003152149521501385,WORK_HASH_10003152149521501385,LOK_SABHA,TELANGANA,GODAM NAGESH,MEDIUM,35.7,0.0255,1,NEW,"{""risk_drivers"": [""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 35.7 >= 25.0"", ""delay_probability_pct"": 2.5, ""expected_delay_days"": 1, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 26.5, ""recommended_monitoring_priority"": ""MEDIUM""}",,2026-09-02T22:35:23.416736,2026-09-02T22:35:23.416737
ALT_10003276381939773911,WORK_HASH_10003276381939773911,RAJYA_SABHA,HIMACHAL PRADESH,SIKANDER KUMAR (2022-28) (2022-2028),MEDIUM,0.0,0.0,0,NEW,"{""risk_drivers"": [""Normal project lifecycle trajectory""], ""threshold_breached"": ""Project Risk Score 0.0 >= 25.0"", ""delay_probability_pct"": 0.0, ""expected_delay_days"": 0, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 0.0, ""recommended_monitoring_priority"": ""LOW""}",,2026-09-02T22:35:23.416750,2026-09-02T22:35:23.416751
ALT_10003358795514976825,WORK_HASH_10003358795514976825,RAJYA_SABHA,KERALA,SMT. P. T. USHA (2022-28) (2022-2028),CRITICAL,79.4,0.9961,49,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration"", ""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 79.4 >= 75.0"", ""delay_probability_pct"": 99.6, ""expected_delay_days"": 49, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 22.9, ""recommended_monitoring_priority"": ""CRITICAL""}",,2026-09-02T22:35:23.416767,2026-09-02T22:35:23.416769
ALT_10003473094987708376,WORK_HASH_10003473094987708376,,,,MEDIUM,0.0,0.0,0,NEW,"{""risk_drivers"": [""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 0.0 >= 25.0"", ""delay_probability_pct"": 0.0, ""expected_delay_days"": 0, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 12.3, ""recommended_monitoring_priority"": ""LOW""}",,2026-09-02T22:35:23.416782,2026-09-02T22:35:23.416783
ALT_10003480687895893892,WORK_HASH_10003480687895893892,LOK_SABHA,PUNJAB,SARABJEET SINGH KHALSA,CRITICAL,79.2,0.9905,78,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration"", ""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 79.2 >= 75.0"", ""delay_probability_pct"": 99.1, ""expected_delay_days"": 78, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 20.8, ""recommended_monitoring_priority"": ""CRITICAL""}",,2026-09-02T22:35:23.416797,2026-09-02T22:35:23.416798
ALT_10003537128100840594,WORK_HASH_10003537128100840594,,,,MEDIUM,0.0,0.0,0,NEW,"{""risk_drivers"": [""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 0.0 >= 25.0"", ""delay_probability_pct"": 0.0, ""expected_delay_days"": 0, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 12.3, ""recommended_monitoring_priority"": ""LOW""}",,2026-09-02T22:35:23.416812,2026-09-02T22:35:23.416813
ALT_10003546004353757372,WORK_HASH_10003546004353757372,LOK_SABHA,GUJARAT,MANSUKHBHAI DHANJIBHAI VASAVA,CRITICAL,79.3,0.9944,44,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration"", ""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 79.3 >= 75.0"", ""delay_probability_pct"": 99.4, ""expected_delay_days"": 44, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 17.6, ""recommended_monitoring_priority"": ""CRITICAL""}",,2026-09-02T22:35:23.416826,2026-09-02T22:35:23.416827
ALT_10003695750330435733,WORK_HASH_10003695750330435733,LOK_SABHA,JHARKHAND,ANNPURNA DEVI,CRITICAL,79.2,0.996,195,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration"", ""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 79.2 >= 75.0"", ""delay_probability_pct"": 99.6, ""expected_delay_days"": 195, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 44.4, ""recommended_monitoring_priority"": ""CRITICAL""}",,2026-09-02T22:35:23.416842,2026-09-02T22:35:23.416843
ALT_10003816820043622452,WORK_HASH_10003816820043622452,LOK_SABHA,JHARKHAND,JOBA MAJHI,CRITICAL,79.5,0.9942,86,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration"", ""Long inactivity period post-sanction (>180 days without disbursement)"", ""Extended period without recent progress updates""], ""threshold_breached"": ""Project Risk Score 79.5 >= 75.0"", ""delay_probability_pct"": 99.4, ""expected_delay_days"": 86, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 3.7, ""recommended_monitoring_priority"": ""CRITICAL""}",,2026-09-02T22:35:23.416857,2026-09-02T22:35:23.416858
ALT_10003853687205785211,WORK_HASH_10003853687205785211,LOK_SABHA,BIHAR,DINESH CHANDRA YADAV,MEDIUM,46.1,0.9927,34,NEW,"{""risk_drivers"": [""High historical sanction/completion delay duration""], ""threshold_breached"": ""Project Risk Score 46.1 >= 25.0"", ""delay_probability_pct"": 99.3, ""expected_delay_days"": 34, ""compliance_flags_count"": 0, ""compliance_rules_triggered"": [], ""compliance_actions"": [], ""ml_anomaly_score"": 0.0, ""statistical_anomaly_score"": 17.6, ""recommended_monitoring_priority"": ""MEDIUM""}",,2026-09-02T22:35:23.416873,2026-09-02T22:35:23.416875
